Title,Album,SelfFeel,Stages,Seriousness,FutureProspects,MaleFeel,Togetherness
You All Over Me (feat. Maren Morris),Fearless (Taylor's Version),0,-1,-1,-2,0,-3
Mr. Perfectly Fine,Fearless (Taylor's Version),2,1,-2,-2,0,-3
We Were Happy,Fearless (Taylor's Version),-1,-1,2,-1,1,-2
That's When (feat. Keith Urban),Fearless (Taylor's Version),-2,-2,1,-2,0,-2
Don't You,Fearless (Taylor's Version),1,0,-1,-1,1,-2
Bye Bye Baby,Fearless (Taylor's Version),2,1,-2,-3,-1,-3
Electric Touch (feat. Fall Out Boy),Speak Now (Taylor's Version),1,2,1,1,2,-1
When Emma Falls in Love,Speak Now (Taylor's Version),2,2,1,1,2,0
I Can See You,Speak Now (Taylor's Version),2,2,0,0,2,-1
Castles Crumbling (feat. Hayley Williams),Speak Now (Taylor's Version),-3,-3,-2,-2,0,-2
Foolish One,Speak Now (Taylor's Version),-2,-2,-1,-2,-1,-3
Timeless,Speak Now (Taylor's Version),1,1,2,0,3,-1
Better Man,Red (Taylor's Version),1,-1,2,-1,1,-3
Nothing New (feat. Phoebe Bridgers),Red (Taylor's Version),-2,-2,-1,-2,-1,-2
Babe,Red (Taylor's Version),0,-1,1,-3,1,-3
Message in a Bottle,Red (Taylor's Version),2,2,1,1,3,-1
I Bet You Think About Me (feat. Chris Stapleton),Red (Taylor's Version),3,2,-1,-3,2,-3
Forever Winter,Red (Taylor's Version),0,-2,-2,0,1,0
Run (feat. Ed Sheeran),Red (Taylor's Version),2,2,1,2,3,2
The Very First Night,Red (Taylor's Version),2,3,2,2,3,2
All Too Well (10 Minute Version),Red (Taylor's Version),-2,-3,3,-3,-2,-2
'Slut!',1989 (Taylor's Version),3,2,0,0,2,1
Say Don't Go,1989 (Taylor's Version),-2,-2,2,-2,-1,-2
Now That We Don't Talk,1989 (Taylor's Version),2,1,-1,-2,0,-3
Suburban Legends,1989 (Taylor's Version),0,0,2,-1,2,-2
Is It Over Now?,1989 (Taylor's Version),2,-1,1,-3,-1,-3
Lavender Haze,Midnights,3,3,2,2,3,3
Maroon,Midnights,-1,-1,2,-1,2,-2
Anti-Hero,Midnights,-2,-2,-1,-1,0,0
Snow on the Beach (feat. Lana Del Rey),Midnights,2,2,2,2,3,1
"You're on Your Own, Kid",Midnights,2,1,-1,2,-1,-2
Midnight Rain,Midnights,1,0,1,-1,1,-2
Question...?,Midnights,-1,-1,1,-1,0,-2
Vigilante Shit,Midnights,3,-1,-3,-2,-3,-3
Bejeweled,Midnights,3,2,0,1,-1,0
Labyrinth,Midnights,1,1,2,2,2,1
Karma,Midnights,3,3,0,3,3,2
Sweet Nothing,Midnights,3,3,3,3,3,3
Mastermind,Midnights,3,2,2,2,3,3
The Great War,Midnights (3am Edition),0,0,1,1,2,1
Bigger Than the Whole Sky,Midnights (3am Edition),-3,-3,-3,-3,0,-3
Paris,Midnights (3am Edition),3,3,1,2,3,3
High Infidelity,Midnights (3am Edition),0,-1,-2,-2,1,-2
Glitch,Midnights (3am Edition),2,2,1,1,2,1
"Would've, Could've, Should've",Midnights (3am Edition),-3,-3,3,-3,-3,-3
Dear Reader,Midnights (3am Edition),-1,0,-1,0,0,-1
Hits Different,Midnights,-2,-3,2,-3,-1,-3
You're Losing Me (From the Vault),Midnights,-2,-3,3,-3,-2,-1
Fortnight (feat. Post Malone),The Tortured Poets Department,-3,-3,3,-3,-1,-3
The Tortured Poets Department,The Tortured Poets Department,2,0,-2,-3,-3,-3
My Boy Only Breaks His Favorite Toys,The Tortured Poets Department,-2,-2,1,-3,1,-3
Down Bad,The Tortured Poets Department,-3,-3,3,-3,-2,-3
"So Long, London",The Tortured Poets Department,-2,-3,3,-2,-2,-3
But Daddy I Love Him,The Tortured Poets Department,3,3,2,2,3,2
Fresh Out the Slammer,The Tortured Poets Department,3,3,1,3,3,1
Florida!!! (feat. Florence and the Machine),The Tortured Poets Department,-2,-3,-2,-1,-2,-3
Guilty as Sin?,The Tortured Poets Department,1,1,2,1,3,-1
Who's Afraid of Little Old Me?,The Tortured Poets Department,3,2,-2,2,-2,-2
I Can Fix Him (No Really I Can),The Tortured Poets Department,-1,1,-1,0,0,1
loml,The Tortured Poets Department,-2,-2,3,-3,1,-3
I Can Do It with a Broken Heart,The Tortured Poets Department,-1,-1,-1,0,0,-3
The Smallest Man Who Ever Lived,The Tortured Poets Department,2,-1,-2,-3,-3,-3
The Alchemy,The Tortured Poets Department,3,3,2,3,3,2
Clara Bow,The Tortured Poets Department,1,0,2,0,-2,-1
The Black Dog,The Tortured Poets Department: The Anthology,-3,-3,3,-3,-2,-3
imgonnagetyouback,The Tortured Poets Department: The Anthology,2,-1,-1,-1,0,-2
The Albatross,The Tortured Poets Department: The Anthology,1,0,-1,1,-2,-1
Chloe or Sam or Sophia or Marcus,The Tortured Poets Department: The Anthology,-2,-2,2,-3,-2,-3
How Did It End?,The Tortured Poets Department: The Anthology,-2,-2,3,-2,-1,-3
So High School,The Tortured Poets Department: The Anthology,3,3,1,2,3,2
I Hate It Here,The Tortured Poets Department: The Anthology,-2,-2,-1,-1,0,-1
thanK you aIMee,The Tortured Poets Department: The Anthology,3,3,-2,3,-3,-2
I Look in People's Windows,The Tortured Poets Department: The Anthology,-3,-3,3,-3,-3,-3
The Prophecy,The Tortured Poets Department: The Anthology,-3,-3,2,-3,-1,-1
Cassandra,The Tortured Poets Department: The Anthology,2,-1,-2,1,-2,-2
Peter,The Tortured Poets Department: The Anthology,-2,-2,3,-3,-1,-3
The Bolter,The Tortured Poets Department: The Anthology,-1,-1,-1,0,2,-2
Robin,The Tortured Poets Department: The Anthology,2,2,2,2,2,2
The Manuscript,The Tortured Poets Department: The Anthology,2,1,2,2,0,0
The Fate of Ophelia,The Life of a Showgirl,3,3,2,3,3,3
Elizabeth Taylor,The Life of a Showgirl,2,2,2,2,3,3
Opalite,The Life of a Showgirl,3,3,2,3,3,3
Father Figure,The Life of a Showgirl,1,0,-2,-2,-1,-1
Eldest Daughter,The Life of a Showgirl,0,0,3,1,2,2
Ruin the Friendship,The Life of a Showgirl,1,2,2,2,3,1
Actually Romantic,The Life of a Showgirl,3,3,2,3,3,3
Wi$h Li$t,The Life of a Showgirl,3,2,3,3,3,3
Wood,The Life of a Showgirl,3,3,0,2,3,3
CANCELLED!,The Life of a Showgirl,2,-2,-3,-2,-3,-3
Honey,The Life of a Showgirl,3,3,2,3,3,3
The Life of a Showgirl (feat. Sabrina Carpenter),The Life of a Showgirl,1,1,1,1,0,1
